id,vin,price,make,model,year,mileage,fueltype,packages,driveType,engine,color_ext,color_int,transmission,trim
703085529,ZFF90HLAXK0246696,484994,Ferrari,488 Pista,2019,9150.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Blue,Black,7-Speed Automatic,Coupe
706496478,ZFF99SLA0P0294430,489988,Ferrari,296 GTB,2023,53.0,Hybrid gas/electric,Not available,2 Wheel Drive - Rear,Hybrid,Gray,Red,8-Speed Automatic,Not available
706539222,ZFF93LMA4P0292170,489995,Ferrari,F8 Spider,2023,393.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Red,Unavail,7-Speed Automatic,Not available
701587266,ZFF90HLA8K0245966,495990,Ferrari,488 Pista,2019,5180.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Silver,Black,7-Speed Automatic,Coupe
708484819,ZFF93LMAXP0291928,499000,Ferrari,F8 Spider,2023,1374.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Red,Black,7-Speed Automatic,Not available
709199156,ZFF93LMA7P0292258,499000,Ferrari,F8 Spider,2023,483.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Gray,Red,7-Speed Automatic,Not available
706556074,ZFF93LMAXN0274267,499800,Ferrari,F8 Spider,2022,1005.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Blue,Black,7-Speed Automatic,Not available
707423059,ZFF93LMA0P0292246,499888,Ferrari,F8 Spider,2023,548.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Red,Black,7-Speed Automatic,Not available
685749222,ZFF90HLA5L0248955,499888,Ferrari,488 Pista,2020,3221.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Black,Black,7-Speed Automatic,Coupe
708729285,ZFF93LMA2N0282654,499900,Ferrari,F8 Spider,2022,1117.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Red,Black,7-Speed Automatic,Not available
692791170,ZFF90HLA2K0239418,499950,Ferrari,488 Pista,2019,5028.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Red,Black,7-Speed Automatic,Coupe
706993157,ZFF93LMA9N0283557,499988,Ferrari,F8 Spider,2022,4144.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Red,Black,7-Speed Automatic,Not available
708646254,ZFF93LMA7P0292731,499995,Ferrari,F8 Spider,2023,1101.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Silver,Unavail,7-Speed Automatic,Not available
695723092,ZFF95NLA9M0261161,509900,Ferrari,SF90 Stradale,2021,1300.0,Hybrid gas/electric,Not available,All Wheel Drive,Hybrid,Red,Black,8-Speed Automatic,Not available
698338109,ZFF90HLA5K0243480,514995,Ferrari,488 Pista,2019,4107.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Blue,Not available,7-Speed Automatic,Coupe
699907162,ZFF95NLA1N0269501,514996,Ferrari,SF90 Stradale,2022,6666.0,Hybrid gas/electric,Not available,All Wheel Drive,Hybrid,Blue,Black,8-Speed Automatic,Not available
700141907,ZFF97CMAXM0264857,516994,Ferrari,812 GTS,2021,7191.0,Gasoline,Not available,2 Wheel Drive - Rear,12-Cylinder,Blue,Beige,7-Speed Automatic,Not available
707490526,ZFF97CMA2M0261158,519900,Ferrari,812 GTS,2021,2799.0,Gasoline,Not available,2 Wheel Drive - Rear,12-Cylinder,Black,Black,7-Speed Automatic,Not available
708197524,ZFF90HLA0K0241894,519990,Ferrari,488 Pista,2019,5791.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Red,Black,7-Speed Automatic,Coupe
703037160,ZFF75VFA7F0204639,519991,Ferrari,458 Speciale,2015,9208.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder,Red,Unavail,7-Speed Automatic,Coupe
704987938,ZFF93LMA7P0290512,519998,Ferrari,F8 Spider,2023,912.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,White,Not available,7-Speed Automatic,Not available
703609269,ZFF90HLA1L0249388,519998,Ferrari,488 Pista,2020,9538.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Gray,Black,7-Speed Automatic,Coupe
703538201,ZFF93LMA4P0291309,524900,Ferrari,F8 Spider,2023,732.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,White,Black,7-Speed Automatic,Not available
698754256,ZFFGT61A150144861,529999,Ferrari,575M Maranello,2005,28122.0,Gasoline,Not available,2 Wheel Drive - Rear,12-Cylinder,Red,Tan,6-Speed Manual,Superamerica
708323071,ZFF95NLA1N0276898,534996,Ferrari,SF90 Stradale,2022,2447.0,Hybrid gas/electric,Not available,All Wheel Drive,Hybrid,Red,Black,8-Speed Automatic,Not available
