id,vin,price,make,model,year,mileage,fueltype,packages,driveType,engine,color_ext,color_int,transmission,trim
705523198,WP1AF2A55PLB57460,87990,Porsche,Macan,2023,4758.0,Gasoline,Not available,All Wheel Drive,6-Cylinder Turbo,Red,Black,7-Speed Automatic,GTS
696553952,WP0AB2A97FS124898,88000,Porsche,911,2015,46600.0,Gasoline,Not available,Not available,6-Cylinder,White,Black,Not available,Carrera GTS
708556521,WP0AB2Y11LSA51591,88000,Porsche,Taycan,2020,27551.0,Electric,Not available,All Wheel Drive,Electric,Red,Black,2-Speed Automatic,4S
710504229,WP0AB2A93GS123247,88000,Porsche,911,2016,50482.0,Gasoline,"[{'name': 'Black/Carmine Red, Leather Seat Trim w/Alcantara GTS Package'}]",2 Wheel Drive - Rear,6-Cylinder,White,Black,7-Speed Automatic,Carrera GTS
699696308,WP0AE2A76NL125295,88100,Porsche,Panamera,2022,12100.0,Hybrid gas/electric,Not available,All Wheel Drive,Hybrid,Black,Black,8-Speed Automatic,4 E-Hybrid
710465568,WP1BA2AY0PDA25696,88499,Porsche,Cayenne,2023,11615.0,Gasoline,Not available,All Wheel Drive,6-Cylinder Turbo,Black,Black,8-Speed Automatic,Platinum Edition
704275056,WP0AA2924PS815141,88755,Porsche,928,1993,75500.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder,Red,Black,Not available,GTS
710130001,WP0AA2Y17PSA12027,88900,Porsche,Taycan,2023,6488.0,Electric,Not available,2 Wheel Drive - Rear,Electric,Red,Beige,2-Speed Automatic,Not available
707966563,WP0CA2A94HS141396,88900,Porsche,911,2017,39000.0,Gasoline,Not available,Not available,6-Cylinder Turbo,White,Black,Not available,Carrera
669055622,WP1BB2AY6MDA46285,89000,Porsche,Cayenne,2021,1800.0,Gasoline,Not available,All Wheel Drive,6-Cylinder Turbo,White,Black,8-Speed Automatic,S
709167660,WP0AB2A92FS124937,89000,Porsche,911,2015,40900.0,Gasoline,Not available,2 Wheel Drive - Rear,6-Cylinder,Black,Black,Not available,Carrera S
693773752,WP0AD29987S784013,89000,Porsche,911,2007,88462.0,Gasoline,Not available,All Wheel Drive,6-Cylinder Turbo,Gray,Gray,Not available,Turbo
692260912,WP0AC2Y17LSA71678,89000,Porsche,Taycan,2020,30992.0,Electric,Not available,All Wheel Drive,Electric,Green,Beige,2-Speed Automatic,Not available
704597433,WP1BA2AY7NDA48227,89000,Porsche,Cayenne,2022,14000.0,Gasoline,Not available,All Wheel Drive,6-Cylinder Turbo,White,Blue,8-Speed Automatic,Coupe
703779670,WP0CB2A80CS745184,89000,Porsche,Boxster,2012,12569.0,Gasoline,Not available,2 Wheel Drive - Rear,6-Cylinder,Black,Black,Not available,Spyder
687586347,WP0AB2A91ES122319,89500,Porsche,911,2014,22000.0,Gasoline,Not available,All Wheel Drive,6-Cylinder,White,Tan,Not available,Carrera 4S
705465379,WP0AJ2A71NL100705,89500,Porsche,Panamera,2022,9506.0,Gasoline,Not available,All Wheel Drive,6-Cylinder Turbo,Gray,Gray,8-Speed Automatic,Not available
705426507,WP0CC2A80GS152816,89900,Porsche,Boxster,2016,10200.0,Gasoline,Not available,2 Wheel Drive - Rear,6-Cylinder,Red,Black,6-Speed Manual,Spyder
708172312,WP0CB2A91GS154800,89900,Porsche,911,2016,17050.0,Gasoline,Not available,2 Wheel Drive - Rear,6-Cylinder,White,Black,Not available,Carrera S
689273168,WP0BA2Y13NSA67978,89900,Porsche,Taycan,2022,5400.0,Electric,Not available,All Wheel Drive,Electric,Green,Red,2-Speed Automatic,4 Cross Turismo
710036959,WP0CB2A82PS213067,89981,Porsche,718 Boxster,2023,590.0,Gasoline,Not available,2 Wheel Drive - Rear,4-Cylinder Turbo,Red,Unavail,6-Speed Manual,S
710255061,WP0AF2A74JL142104,89990,Porsche,Panamera,2018,18734.0,Gasoline,"[{'name': 'Sportdesign Package'}, {'name': 'Sport Package'}, {'name': 'Premium Package Plus'}, {'name': 'Sport Chrono Package'}, {'name': 'Carbon Fiber Interior Package'}]",All Wheel Drive,8-Cylinder Turbo,White,Unavail,8-Speed Automatic,Turbo
710420381,WP0CA2A82RK205315,89995,Porsche,718 Boxster,2024,206.0,Gasoline,Not available,2 Wheel Drive - Rear,4-Cylinder Turbo,Silver,Black,Automatic,Not available
691613370,WP1AA2AY2PDA03291,89995,Porsche,Cayenne,2023,2400.0,Gasoline,Not available,All Wheel Drive,6-Cylinder Turbo,White,Beige,8-Speed Automatic,Platinum Edition
687751006,WP0AA2A97JS105652,89995,Porsche,911,2018,14725.0,Gasoline,Not available,Not available,6-Cylinder Turbo,Blue,Gray,Not available,Carrera
