id,vin,price,make,model,year,mileage,fueltype,packages,driveType,engine,color_ext,color_int,transmission,trim
710331631,WP0AD2A99GS166565,124999,Porsche,911,2016,45773.0,Gasoline,Not available,All Wheel Drive,6-Cylinder Turbo,Blue,Tan,7-Speed Automatic,Turbo S
695045321,WP0CD2A98HS178250,124999,Porsche,911,2017,51425.0,Gasoline,Not available,All Wheel Drive,6-Cylinder Turbo,Silver,Black,7-Speed Automatic,Turbo
710322030,WP1AF2AYXPDA20244,124999,Porsche,Cayenne,2023,6450.0,Gasoline,Not available,All Wheel Drive,8-Cylinder Turbo,White,Black,8-Speed Automatic,Turbo
710129477,WP0AA2A97MS207019,125000,Porsche,911,2021,8000.0,Gasoline,Not available,All Wheel Drive,6-Cylinder Turbo,Red,Black,8-Speed Automatic,Carrera 4
697164926,WP0AD2A92ES166842,125000,Porsche,911,2014,22700.0,Gasoline,Not available,All Wheel Drive,6-Cylinder Turbo,Black,Black,7-Speed Automatic,4 Coupe
654781966,WP0AC2Y16LSA71848,125000,Porsche,Taycan,2020,19785.0,Electric,Not available,All Wheel Drive,Electric,White,Tan,2-Speed Automatic,Turbo S
708349196,WP1BG2AY0PDA32114,125228,Porsche,Cayenne,2023,10000.0,Gasoline,Not available,All Wheel Drive,8-Cylinder Turbo,Black,Black,8-Speed Automatic,GTS
689894438,WP0CD2A94HS178911,125688,Porsche,911,2017,49656.0,Gasoline,Not available,All Wheel Drive,6-Cylinder Turbo,Black,Red,7-Speed Automatic,Turbo S
699043740,WP0AB2A90LS228449,126500,Porsche,911,2020,22438.0,Gasoline,Not available,2 Wheel Drive - Rear,6-Cylinder Turbo,White,Black,8-Speed Automatic,Carrera S
707252115,WP0AB2A98LS228103,126500,Porsche,911,2020,18153.0,Gasoline,Not available,All Wheel Drive,6-Cylinder Turbo,Red,Black,Not available,Carrera 4S
683366134,WP0AA2A97MS205433,126750,Porsche,911,2021,3900.0,Gasoline,Not available,Not available,6-Cylinder Turbo,Black,Black,8-Speed Automatic,Carrera
694292075,WP1AH2AY5LDA44049,127000,Porsche,Cayenne,2020,16134.0,Hybrid gas/electric,Not available,All Wheel Drive,Hybrid,Beige,Unavail,8-Speed Automatic,Turbo S
691102128,WP0AB2A96LS225958,127500,Porsche,911,2020,11636.0,Gasoline,Not available,2 Wheel Drive - Rear,6-Cylinder Turbo,Gray,Red,Not available,Carrera S
708778024,WP0AC2A86MK289195,127718,Porsche,718 Cayman,2021,22875.0,Gasoline,Not available,2 Wheel Drive - Rear,6-Cylinder,White,Black,Not available,GT4
695485164,WP0AD2A91GS166351,127900,Porsche,911,2016,44800.0,Gasoline,Not available,All Wheel Drive,6-Cylinder Turbo,White,Red,7-Speed Automatic,Turbo S
707676397,WP0BB2Y16PSA65609,127900,Porsche,Taycan,2023,2244.0,Electric,Not available,All Wheel Drive,Electric,Green,Black,2-Speed Automatic,4S
700177871,WP0CB2A93LS263687,129000,Porsche,911,2020,18200.0,Gasoline,Not available,2 Wheel Drive - Rear,6-Cylinder Turbo,Black,Black,Not available,Carrera S
696442678,WP0AB2A95LS228771,129000,Porsche,911,2020,17100.0,Gasoline,Not available,All Wheel Drive,6-Cylinder Turbo,Silver,Burgundy,8-Speed Automatic,Carrera 4S
700810425,WP0AA2A98NS206480,129000,Porsche,911,2022,3950.0,Gasoline,Not available,Not available,6-Cylinder Turbo,Silver,Black,8-Speed Automatic,Carrera
707031759,WP0AD2A9XFS166928,129250,Porsche,911,2015,16235.0,Gasoline,Not available,All Wheel Drive,6-Cylinder Turbo,White,Red,7-Speed Automatic,Turbo S
708638541,WP0CD2A97ES173410,129500,Porsche,911,2014,37517.0,Gasoline,Not available,All Wheel Drive,6-Cylinder Turbo,Black,Gray,7-Speed Automatic,Turbo S
709811671,WP0AB2A99JS123065,129750,Porsche,911,2018,16100.0,Gasoline,Not available,All Wheel Drive,6-Cylinder Turbo,Black,Black,Not available,Carrera 4 GTS
710174256,WP0AC2A87LK289625,129900,Porsche,718 Cayman,2020,4407.0,Gasoline,Not available,2 Wheel Drive - Rear,6-Cylinder,White,Black,6-Speed Manual,GT4
707957237,WP0CD299X9S773249,129900,Porsche,911,2009,33561.0,Gasoline,Not available,All Wheel Drive,6-Cylinder Turbo,Silver,Brown,6-Speed Manual,Turbo
709286564,WP0AB2A9XJS123933,129900,Porsche,911,2018,12316.0,Gasoline,Not available,Not available,6-Cylinder Turbo,Black,Black,Not available,Coupe
